 X,Y,Z,U,V,Vr,P,T,rho,Mach
    -0.34218,     0.11118,     0.00000, -1764.42427,   978.82474,  2017.74400,************, -4720.47329,  -181.36418,         NaN
    -0.32868,     0.14634,     0.00000,-27857.37361,  6367.81778, 28575.90537,************,************,   -50.75350,         NaN
    -0.31158,     0.17989,     0.00000, 21516.16551, -1253.09161, 21552.62437,************,************,   -50.81238,         NaN
    -0.29107,     0.21148,     0.00000, 53156.16903,-11539.62200, 54394.31203,************,************,   -35.80948,         NaN
    -0.26737,     0.24074,     0.00000,-49959.08981, 10927.93411, 51140.30112,************,************,   -17.68946,         NaN
    -0.24074,     0.26737,     0.00000,************,************,************,************,************,     0.21096,         NaN
    -0.21148,     0.29107,     0.00000,  9081.61678, -1903.04164,  9278.86474,************,-63419.69299,    15.39352,         NaN
    -0.17989,     0.31158,     0.00000,  3330.37813,  -322.15006,  3345.92277,************, -8016.06723,    25.79476,         NaN
    -0.14634,     0.32868,     0.00000,  1841.42470,   135.42822,  1846.39805,************, -1726.54972,    30.13999,         NaN
    -0.11118,     0.34218,     0.00000,  1209.65237,   343.46619,  1257.46884,************,  -114.96263,    27.35719,         NaN
    -0.07480,     0.35192,     0.00000,   641.44173,   520.20345,   825.86871,************,   537.60431,    16.87090,     1.77695
    -0.03761,     0.35782,     0.00000, -4424.79304,  4720.37059,  6469.98392,************,-24089.86042,     3.22790,         NaN
     0.00000,     0.35979,     0.00000,-63071.17779, 11321.11068, 64079.17770,************,************,   -11.52267,         NaN
     0.05000,     0.35979,     0.00000,139099.57249,-27283.41503,141750.04692,************,************,   -19.85608,         NaN
     0.10000,     0.35979,     0.00000,-87197.73098, 19301.47135, 89308.40433,************,************,   -21.97887,         NaN
     0.15000,     0.35979,     0.00000,************, 22492.17314,104415.94815,************,************,   -22.25613,         NaN
     0.20000,     0.35979,     0.00000,-10205.70798,  1812.90428, 10365.47622,************,************,   -22.49299,         NaN
     0.25000,     0.35979,     0.00000,-10205.70798,  1812.90428, 10365.47622,************,************,   -22.49299,         NaN
     0.30000,     0.35979,     0.00000,-10205.70798,  1812.90428, 10365.47622,************,************,   -22.49299,         NaN
     0.35000,     0.35979,     0.00000, 31334.80864, -7234.43167, 32159.09255,************,************,   -49.42648,     1.23745
     0.40000,     0.35979,     0.00000, 74634.14069,-18143.51805, 76807.82645,************,493331.67802,   -25.82737,     5.45546
     0.45000,     0.35979,     0.00000, 43791.77908, -7095.81069, 44362.93999,************,************,    75.95499,         NaN
     0.50000,     0.35979,     0.00000,   590.22080,     0.00000,   590.22080,122263.07625,   298.95000,     1.42500,     1.70298
     0.50000,    -0.32403,     0.00000,   555.50193,     0.00000,   555.50193,119977.48000,   298.60000,     1.40000,     1.60375
     0.45000,    -0.32403,     0.00000,   926.12113,    40.87725,   927.02282,************, -1536.92762,  -116.48925,         NaN
     0.40000,    -0.32403,     0.00000,  -405.56191,   360.85080,   542.85704,************,  -903.14293,   -16.85893,         NaN
     0.35000,    -0.32403,     0.00000,   788.19444,    38.42256,   789.13038,************, -1299.53561,   115.81481,         NaN
     0.30000,    -0.32403,     0.00000,  -495.23848,  1066.39707,  1175.78223,542640.04589, -1325.79405,    -1.42611,         NaN
     0.25000,    -0.32403,     0.00000,  -495.23848,  1066.39707,  1175.78223,542640.04589, -1325.79405,    -1.42611,         NaN
     0.20000,    -0.32403,     0.00000,  -495.23848,  1066.39707,  1175.78223,542640.04589, -1325.79405,    -1.42611,         NaN
     0.15000,    -0.32403,     0.00000,  4946.69809, -2265.12220,  5440.64340,************,-15471.25849,     0.56890,         NaN
     0.10000,    -0.32403,     0.00000,  2421.71959,  -233.53285,  2432.95363,************, -2727.88335,    11.42943,         NaN
     0.05000,    -0.32403,     0.00000,  2492.16329,  -331.05068,  2514.05498,************, -2513.60076,    22.93162,         NaN
    -0.00000,    -0.32403,     0.00000,-87792.91103, 78395.51390,117700.68745,************,************,    -0.17431,         NaN
    -0.03387,    -0.32225,     0.00000,  1411.87672,   821.24558,  1633.35243,************, -3046.65582,   -41.30115,         NaN
    -0.06737,    -0.31695,     0.00000,-11892.20015,  2594.20180, 12171.86540,************,-80537.33164,   -23.90564,         NaN
    -0.10013,    -0.30817,     0.00000,************,************,************,************,************,     0.45919,         NaN
    -0.13179,    -0.29601,     0.00000,************, 84031.47214,347354.28360,************,************,     1.74918,         NaN
