 X,Y,Z,U,V,P
     0.22500,    -0.38462,     0.00000,    -0.01333,     0.00505,    -0.16476
     0.22500,    -0.34615,     0.00000,    -0.01813,     0.00840,    -0.16476
     0.22500,    -0.30769,     0.00000,    -0.02291,     0.01247,    -0.16478
     0.22500,    -0.26923,     0.00000,    -0.02731,     0.01708,    -0.16484
     0.22500,    -0.23077,     0.00000,    -0.03088,     0.02195,    -0.16495
     0.22500,    -0.19231,     0.00000,    -0.03302,     0.02666,    -0.16510
     0.22500,    -0.15385,     0.00000,    -0.03272,     0.03064,    -0.16528
     0.22500,    -0.11538,     0.00000,    -0.02785,     0.03301,    -0.16548
     0.22500,    -0.07692,     0.00000,    -0.01291,     0.03249,    -0.16562
     0.22500,    -0.03846,     0.00000,     0.02671,     0.02709,    -0.16562
     0.22500,     0.00000,     0.00000,     0.12386,     0.01506,    -0.16538
     0.22500,     0.03846,     0.00000,     0.32457,    -0.00085,    -0.16501
     0.22500,     0.07692,     0.00000,     0.62051,    -0.00927,    -0.16458
     0.22500,     0.11538,     0.00000,     0.92481,    -0.01167,    -0.16387
     0.22500,     0.15385,     0.00000,     1.17126,    -0.01257,    -0.16267
     0.22500,     0.19231,     0.00000,     1.34758,    -0.01280,    -0.16099
     0.22500,     0.23077,     0.00000,     1.45290,    -0.01249,    -0.15899
     0.22500,     0.26923,     0.00000,     1.48722,    -0.01171,    -0.15689
     0.22500,     0.30769,     0.00000,     1.45057,    -0.01051,    -0.15489
     0.22500,     0.34615,     0.00000,     1.34297,    -0.00892,    -0.15319
     0.22500,     0.38462,     0.00000,     1.16445,    -0.00699,    -0.15191
     0.22500,     0.42308,     0.00000,     0.91511,    -0.00475,    -0.15111
     0.22500,     0.46154,     0.00000,     0.59551,    -0.00228,    -0.15075
     0.22500,     0.50000,     0.00000,     0.00000,     0.00000,    -0.15067
     0.26250,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16484
     0.26250,    -0.46154,     0.00000,    -0.00604,     0.00087,    -0.16482
     0.26250,    -0.42308,     0.00000,    -0.01088,     0.00259,    -0.16480
     0.26250,    -0.38462,     0.00000,    -0.01621,     0.00516,    -0.16479
     0.26250,    -0.34615,     0.00000,    -0.02173,     0.00851,    -0.16479
     0.26250,    -0.30769,     0.00000,    -0.02708,     0.01250,    -0.16481
     0.26250,    -0.26923,     0.00000,    -0.03181,     0.01693,    -0.16487
     0.26250,    -0.23077,     0.00000,    -0.03535,     0.02148,    -0.16498
     0.26250,    -0.19231,     0.00000,    -0.03697,     0.02573,    -0.16512
     0.26250,    -0.15385,     0.00000,    -0.03548,     0.02911,    -0.16529
     0.26250,    -0.11538,     0.00000,    -0.02840,     0.03083,    -0.16545
     0.26250,    -0.07692,     0.00000,    -0.00981,     0.02973,    -0.16557
     0.26250,    -0.03846,     0.00000,     0.03501,     0.02421,    -0.16555
     0.26250,     0.00000,     0.00000,     0.13679,     0.01307,    -0.16534
     0.26250,     0.03846,     0.00000,     0.33601,    -0.00124,    -0.16501
     0.26250,     0.07692,     0.00000,     0.62592,    -0.00975,    -0.16461
     0.26250,     0.11538,     0.00000,     0.92658,    -0.01253,    -0.16396
     0.26250,     0.15385,     0.00000,     1.17191,    -0.01366,    -0.16288
     0.26250,     0.19231,     0.00000,     1.34758,    -0.01401,    -0.16138
     0.26250,     0.23077,     0.00000,     1.45237,    -0.01374,    -0.15960
     0.26250,     0.26923,     0.00000,     1.48622,    -0.01292,    -0.15771
     0.26250,     0.30769,     0.00000,     1.44915,    -0.01163,    -0.15592
     0.26250,     0.34615,     0.00000,     1.34116,    -0.00989,    -0.15439
     0.26250,     0.38462,     0.00000,     1.16230,    -0.00775,    -0.15324
     0.26250,     0.42308,     0.00000,     0.91268,    -0.00525,    -0.15252
     0.26250,     0.46154,     0.00000,     0.59307,    -0.00251,    -0.15221
     0.26250,     0.50000,     0.00000,     0.00000,     0.00000,    -0.15214
     0.30000,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16486
     0.30000,    -0.46154,     0.00000,    -0.00731,     0.00089,    -0.16485
     0.30000,    -0.42308,     0.00000,    -0.01299,     0.00264,    -0.16483
     0.30000,    -0.38462,     0.00000,    -0.01909,     0.00522,    -0.16481
     0.30000,    -0.34615,     0.00000,    -0.02528,     0.00854,    -0.16482
     0.30000,    -0.30769,     0.00000,    -0.03112,     0.01244,    -0.16484
     0.30000,    -0.26923,     0.00000,    -0.03606,     0.01669,    -0.16491
     0.30000,    -0.23077,     0.00000,    -0.03946,     0.02095,    -0.16500
     0.30000,    -0.19231,     0.00000,    -0.04046,     0.02481,    -0.16514
     0.30000,    -0.15385,     0.00000,    -0.03769,     0.02771,    -0.16529
     0.30000,    -0.11538,     0.00000,    -0.02845,     0.02893,    -0.16544
     0.30000,    -0.07692,     0.00000,    -0.00645,     0.02743,    -0.16553
     0.30000,    -0.03846,     0.00000,     0.04295,     0.02189,    -0.16551
     0.30000,     0.00000,     0.00000,     0.14867,     0.01146,    -0.16532
     0.30000,     0.03846,     0.00000,     0.34682,    -0.00167,    -0.16502
     0.30000,     0.07692,     0.00000,     0.63152,    -0.01021,    -0.16466
     0.30000,     0.11538,     0.00000,     0.92862,    -0.01330,    -0.16406
     0.30000,     0.15385,     0.00000,     1.17271,    -0.01462,    -0.16308
     0.30000,     0.19231,     0.00000,     1.34766,    -0.01508,    -0.16174
     0.30000,     0.23077,     0.00000,     1.45185,    -0.01485,    -0.16014
     0.30000,     0.26923,     0.00000,     1.48517,    -0.01401,    -0.15845
     0.30000,     0.30769,     0.00000,     1.44761,    -0.01263,    -0.15685
     0.30000,     0.34615,     0.00000,     1.33919,    -0.01075,    -0.15548
     0.30000,     0.38462,     0.00000,     1.15993,    -0.00842,    -0.15445
     0.30000,     0.42308,     0.00000,     0.91000,    -0.00570,    -0.15381
     0.30000,     0.46154,     0.00000,     0.59039,    -0.00270,    -0.15354
     0.30000,     0.50000,     0.00000,     0.00000,     0.00000,    -0.15348
     0.33750,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16489
     0.33750,    -0.46154,     0.00000,    -0.00861,     0.00090,    -0.16488
     0.33750,    -0.42308,     0.00000,    -0.01511,     0.00267,    -0.16485
     0.33750,    -0.38462,     0.00000,    -0.02196,     0.00525,    -0.16484
     0.33750,    -0.34615,     0.00000,    -0.02877,     0.00854,    -0.16484
     0.33750,    -0.30769,     0.00000,    -0.03503,     0.01234,    -0.16487
     0.33750,    -0.26923,     0.00000,    -0.04010,     0.01641,    -0.16494
     0.33750,    -0.23077,     0.00000,    -0.04327,     0.02042,    -0.16503
     0.33750,    -0.19231,     0.00000,    -0.04356,     0.02394,    -0.16516
     0.33750,    -0.15385,     0.00000,    -0.03949,     0.02645,    -0.16530
     0.33750,    -0.11538,     0.00000,    -0.02812,     0.02726,    -0.16543
     0.33750,    -0.07692,     0.00000,    -0.00295,     0.02548,    -0.16551
     0.33750,    -0.03846,     0.00000,     0.05058,     0.01997,    -0.16548
     0.33750,     0.00000,     0.00000,     0.15976,     0.01010,    -0.16531
     0.33750,     0.03846,     0.00000,     0.35714,    -0.00214,    -0.16504
     0.33750,     0.07692,     0.00000,     0.63726,    -0.01064,    -0.16470
     0.33750,     0.11538,     0.00000,     0.93088,    -0.01400,    -0.16415
     0.33750,     0.15385,     0.00000,     1.17364,    -0.01549,    -0.16327
     0.33750,     0.19231,     0.00000,     1.34780,    -0.01604,    -0.16207
     0.33750,     0.23077,     0.00000,     1.45133,    -0.01584,    -0.16064
     0.33750,     0.26923,     0.00000,     1.48406,    -0.01498,    -0.15912
     0.33750,     0.30769,     0.00000,     1.44597,    -0.01352,    -0.15769
     0.33750,     0.34615,     0.00000,     1.33706,    -0.01151,    -0.15647
     0.33750,     0.38462,     0.00000,     1.15737,    -0.00901,    -0.15555
     0.33750,     0.42308,     0.00000,     0.90710,    -0.00608,    -0.15499
     0.33750,     0.46154,     0.00000,     0.58752,    -0.00285,    -0.15475
     0.33750,     0.50000,     0.00000,     0.00000,     0.00000,    -0.15471
     0.37500,    -0.50000,     0.00000,     0.00000,     0.00000,    -0.16492
     0.37500,    -0.46154,     0.00000,    -0.00992,     0.00091,    -0.16490
     0.37500,    -0.42308,     0.00000,    -0.01723,     0.00269,    -0.16488
     0.37500,    -0.38462,     0.00000,    -0.02481,     0.00527,    -0.16487
     0.37500,    -0.34615,     0.00000,    -0.03220,     0.00851,    -0.16487
