X,Y,Z,U,V,P
0.001250,0.007500,0.000000,0.059178,0.235016,0.008248
0.001250,0.007750,0.000000,0.057473,0.220403,0.010253
0.001250,0.008000,0.000000,0.053120,0.204741,0.012433
0.001250,0.008250,0.000000,0.045724,0.188236,0.014787
0.001250,0.008500,0.000000,0.034818,0.171001,0.017334
0.001250,0.008750,0.000000,0.019956,0.152932,0.020095
0.001250,0.009000,0.000000,0.001591,0.133569,0.023041
0.001250,0.009250,0.000000,-0.012762,0.111906,0.026017
0.001250,0.009500,0.000000,0.021330,0.085320,0.028818
0.001250,0.009750,0.000000,0.255964,0.046987,0.032205
0.001250,0.010000,0.000000,1.460408,0.000000,0.034257
0.001500,0.000000,0.000000,0.000000,0.000000,0.039218
0.001500,0.000250,0.000000,-0.000768,0.001757,0.039314
0.001500,0.000500,0.000000,-0.009110,0.006342,0.039532
0.001500,0.000750,0.000000,-0.022701,0.014679,0.039781
0.001500,0.001000,0.000000,-0.039966,0.027316,0.040013
0.001500,0.001250,0.000000,-0.058895,0.044145,0.040150
0.001500,0.001500,0.000000,-0.077229,0.064358,0.040078
0.001500,0.001750,0.000000,-0.092981,0.086752,0.039675
0.001500,0.002000,0.000000,-0.104875,0.110147,0.038826
0.001500,0.002250,0.000000,-0.112393,0.133604,0.037448
0.001500,0.002500,0.000000,-0.115587,0.156451,0.035502
0.001500,0.002750,0.000000,-0.114844,0.178229,0.033000
0.001500,0.003000,0.000000,-0.110702,0.198626,0.029999
0.001500,0.003250,0.000000,-0.103747,0.217426,0.026596
0.001500,0.003500,0.000000,-0.094552,0.234483,0.022916
0.001500,0.003750,0.000000,-0.083642,0.249700,0.019099
0.001500,0.004000,0.000000,-0.071483,0.263017,0.015292
0.001500,0.004250,0.000000,-0.058477,0.274401,0.011634
0.001500,0.004500,0.000000,-0.044969,0.283839,0.008252
0.001500,0.004750,0.000000,-0.031250,0.291329,0.005253
0.001500,0.005000,0.000000,-0.017570,0.296880,0.002722
0.001500,0.005250,0.000000,-0.004150,0.300503,0.000723
0.001500,0.005500,0.000000,0.008814,0.302213,-0.000709
0.001500,0.005750,0.000000,0.021135,0.302024,-0.001556
0.001500,0.006000,0.000000,0.032633,0.299954,-0.001823
0.001500,0.006250,0.000000,0.043119,0.296018,-0.001534
0.001500,0.006500,0.000000,0.052398,0.290237,-0.000725
0.001500,0.006750,0.000000,0.060260,0.282636,0.000557
0.001500,0.007000,0.000000,0.066475,0.273253,0.002259
0.001500,0.007250,0.000000,0.070798,0.262133,0.004323
0.001500,0.007500,0.000000,0.072960,0.249337,0.006701
0.001500,0.007750,0.000000,0.072671,0.234935,0.009350
0.001500,0.008000,0.000000,0.069618,0.218987,0.012245
0.001500,0.008250,0.000000,0.063472,0.201518,0.015374
0.001500,0.008500,0.000000,0.053908,0.182465,0.018735
0.001500,0.008750,0.000000,0.040716,0.161607,0.022315
0.001500,0.009000,0.000000,0.024692,0.138498,0.026044
0.001500,0.009250,0.000000,0.014158,0.112376,0.029736
0.001500,0.009500,0.000000,0.055536,0.081485,0.033143
0.001500,0.009750,0.000000,0.297520,0.042153,0.036596
0.001500,0.010000,0.000000,1.460408,0.000000,0.038447
0.001750,0.000000,0.000000,0.000000,0.000000,0.038608
0.001750,0.000250,0.000000,-0.004561,0.002611,0.038731
0.001750,0.000500,0.000000,-0.016578,0.008887,0.038991
0.001750,0.000750,0.000000,-0.034498,0.019634,0.039245
0.001750,0.001000,0.000000,-0.056139,0.035077,0.039415
0.001750,0.001250,0.000000,-0.078750,0.054593,0.039389
0.001750,0.001500,0.000000,-0.099558,0.076892,0.039041
0.001750,0.001750,0.000000,-0.116512,0.100564,0.038250
0.001750,0.002000,0.000000,-0.128568,0.124470,0.036925
0.001750,0.002250,0.000000,-0.135516,0.147826,0.035015
0.001750,0.002500,0.000000,-0.137655,0.170126,0.032520
0.001750,0.002750,0.000000,-0.135538,0.191052,0.029484
0.001750,0.003000,0.000000,-0.129814,0.210401,0.025993
0.001750,0.003250,0.000000,-0.121141,0.228045,0.022162
0.001750,0.003500,0.000000,-0.110141,0.243907,0.018129
0.001750,0.003750,0.000000,-0.097377,0.257949,0.014039
0.001750,0.004000,0.000000,-0.083341,0.270161,0.010035
0.001750,0.004250,0.000000,-0.068453,0.280547,0.006253
0.001750,0.004500,0.000000,-0.053070,0.289126,0.002813
0.001750,0.004750,0.000000,-0.037489,0.295918,-0.000186
0.001750,0.005000,0.000000,-0.021964,0.300943,-0.002664
0.001750,0.005250,0.000000,-0.006713,0.304219,-0.004567
0.001750,0.005500,0.000000,0.008066,0.305760,-0.005858
0.001750,0.005750,0.000000,0.022191,0.305574,-0.006523
0.001750,0.006000,0.000000,0.035480,0.303666,-0.006566
0.001750,0.006250,0.000000,0.047751,0.300036,-0.006007
0.001750,0.006500,0.000000,0.058806,0.294681,-0.004877
0.001750,0.006750,0.000000,0.068436,0.287594,-0.003219
0.001750,0.007000,0.000000,0.076409,0.278767,-0.001081
0.001750,0.007250,0.000000,0.082479,0.268185,0.001485
0.001750,0.007500,0.000000,0.086377,0.255831,0.004432
0.001750,0.007750,0.000000,0.087824,0.241675,0.007714
0.001750,0.008000,0.000000,0.086537,0.225666,0.011297
0.001750,0.008250,0.000000,0.082246,0.207711,0.015151
0.001750,0.008500,0.000000,0.074729,0.187650,0.019240
0.001750,0.008750,0.000000,0.063923,0.165220,0.023508
0.001750,0.009000,0.000000,0.050822,0.140036,0.027837
0.001750,0.009250,0.000000,0.044251,0.111520,0.032009
0.001750,0.009500,0.000000,0.091553,0.078423,0.035757
0.001750,0.009750,0.000000,0.337448,0.038905,0.039198
0.001750,0.010000,0.000000,1.460408,0.000000,0.040902
0.002000,0.000000,0.000000,0.000000,0.000000,0.037919
0.002000,0.000250,0.000000,-0.009655,0.003516,0.038069
0.002000,0.000500,0.000000,-0.026133,0.011564,0.038366
0.002000,0.000750,0.000000,-0.048892,0.024735,0.038603
0.002000,0.001000,0.000000,-0.074925,0.042766,0.038664
0.002000,0.001250,0.000000,-0.100709,0.064423,0.038409
0.002000,0.001500,0.000000,-0.123200,0.088055,0.037703
0.002000,0.001750,0.000000,-0.140560,0.112233,0.036440
0.002000,0.002000,0.000000,-0.152137,0.135979,0.034559
0.002000,0.002250,0.000000,-0.158049,0.158696,0.032050
0.002000,0.002500,0.000000,-0.158814,0.180034,0.028950
0.002000,0.002750,0.000000,-0.155119,0.199788,0.025337
0.002000,0.003000,0.000000,-0.147694,0.217838,0.021324
